id,Protein,Calcium,Iron,Zinc,Vitamin A,Folate
grasspea,9,2,5,8,0,5
pigeonpea,7,4,4,6,1,8
bambaragroundnut,6,2,3,6,,2
lablab,4,1,8,2,0,0
cowpea,8,3,6,9,0,10
mungbean,6,6,9,2,9,10
groundnut,7,1,3,7,0,3
soybean,10,8,7,10,,9
maize,3,1,3,5,,2
fonio,2,1,10,7,,3
tef,4,6,7,9,,4
okra,1,3,1,1,3,2
fingermillet,2,10,10,4,,2
sorghum,4,1,6,5,0,1
sesame,5,10,9,4,,2
cocoyam,1,0,1,1,,0
taro,1,1,1,2,0,0
yams,1,0,1,1,,0
sweetpotato,0,1,2,1,8,1
cassava,0,1,1,5,0,0
tomato,0,0,1,1,3,0
africaneggplant,0,0,1,1,1,1
josephscoat,8,10,7,9,10,1